category,coordinates,startTime,endTime,from,to,type
Road Closed,"(-118.1627669135, 34.1037016309)",2024-03-16 00:37:20+00:00,,Camino Lindo,Valley View Rd,Feature
Road Closed,"(-118.1588817337, 33.874758973)",2024-03-15 10:33:32+00:00,2024-03-23 06:59:00+00:00,E Artesia Blvd,E Artesia Blvd,Feature
Road Works,"(-118.1507318416, 34.0347956488)",2024-03-16 01:11:00+00:00,,Avenida Cesar Chavez/W Riggin St (Atlantic Blvd),CA-60/Pomona Fwy (S Atlantic Blvd),Feature
Road Works,"(-118.1581991115, 34.1560824358)",2024-03-16 02:11:00+00:00,,Mountain St (I-210),Marengo Ave (I-210),Feature
Jam,"(-118.1762329438, 34.0591916512)",2024-03-16 06:02:00+00:00,2024-03-16 07:12:00+00:00,City Terrace Dr/Herbert Ave (I-10),Atlantic Blvd (I-10),Feature
Road Closed,"(-118.1473375061, 33.9206931508)",2024-03-15 11:58:06+00:00,2024-03-17 06:59:00+00:00,Downey Ave,Borson St,Feature
Road Closed,"(-118.1474166313, 33.9187566081)",2024-03-15 11:58:06+00:00,2024-03-17 06:59:00+00:00,Borson St,Downey Ave,Feature
Road Works,"(-118.1463410654, 33.9954261564)",2024-03-14 19:28:30+00:00,,E Washington Blvd,I-5 S,Feature
Road Closed,"(-118.1369734505, 34.1555540406)",2024-03-15 23:16:42+00:00,,N El Molino Ave,N Lake Ave,Feature
Road Closed,"(-118.1357543865, 34.1555620866)",2024-03-15 16:37:30+00:00,,N Lake Ave,N El Molino Ave,Feature
Road Works,"(-118.1313555637, 34.1514046573)",2024-03-15 19:09:00+00:00,,Corson St / N Lake Ave,I-210 E,Feature
Road Closed,"(-118.1264846721, 33.7570649397)",2024-03-15 17:18:46+00:00,2024-03-18 06:59:00+00:00,E 2nd St / Tivoli Dr,E 2nd St / Campo Dr,Feature
Road Closed,"(-118.1258114376, 33.7564682058)",2024-03-15 17:18:46+00:00,2024-03-18 06:59:00+00:00,E 2nd St / Campo Dr,E 2nd St / Tivoli Dr,Feature
Road Closed,"(-118.1132734516, 34.0054469233)",2024-02-22 16:53:00+00:00,,W Olympic Blvd (S Greenwood Ave),Washington Blvd (S Greenwood Ave),Feature
